Note,note_kor
Rosemary,로즈마리
Amber,앰버
Lavender,라벤더
Sicilian Citruses,시칠리안 시트러스
Jasmine,자스민
White Musk,화이트 머스크
Bulgarian Rose,불가리안 로즈
Lemon Verbena,레몬 버베나
Vetiver,베티버
Sandalwood,샌달우드
Patchouli,패출리
Ylang-Ylang,일랑일랑
Cedar,시더 (삼나무)
Cardamom,카다멈
Pink Pepper,핑크 페퍼
Paprika,파프리카
Oakmoss,오크모스
resins,레진 (수지)
Bergamot,베르가못
Bitter Orange,비터 오렌지
Sweet Orange,스위트 오렌지
Orange,오렌지
Sicilian Lemon,시칠리안 레몬
Musk,머스크
Amalfi Lemon,아말피 레몬
Rose,로즈 (장미)
Citruses,시트러스
Lemon,레몬
Tuberose,튜베로즈
Orange Blossom,오렌지 블로썸
Mandarin Orange,만다린 오렌지
Mimosa,미모사
Hibiscus,히비스커스
Vanilla,바닐라
iris,아이리스 (붓꽃)
Star Anise,스타 아니스 (팔각)
Magnolia,매그놀리아 (목련)
Citron,시트론
vetyver,베티버
Vanille,바닐라
Virginia Cedar,버지니아 시더
French labdanum,프렌치 랍다넘
Peony,피오니 (작약)
Pimento,피멘토
Moss,모스 (이끼)
Woodsy Notes,우디 노트
Spices,스파이스 (향신료)
Geranium,제라늄
Galbanum,갈바넘
Ambergris,앰버그리스 (용연향)
Haitian Vetiver,아이티안 베티버
Petitgrain,페티그레인
Mint,민트
Neroli,네롤리
Sage,세이지
Lily-of-the-Valley,릴리 오브 더 밸리 (은방울꽃)
Cloves,클로브 (정향)
Grapefruit,그레이프프루트 (자몽)
Myrhh,몰약 (미르)
Artemisia,아르테미시아 (쑥)
Guaiac Wood,가이악 우드
Leather,레더 (가죽)
Benzoin,벤조인
Ginger,진저 (생강)
Vanila,바닐라
Iris Flower,아이리스 꽃
oak moss,오크모스
Ambrette,암브레트
Musk Mallow,머스크 멜로우
Anise,아니스
Tuscan Iris,투스칸 아이리스
Jasmine Sambac,자스민 삼박
Birch,비치 (자작나무)
Black locust,블랙 로커스트 (아까시나무)
Black Pepper,블랙 페퍼
Raspberry,라즈베리
Turkish Rose,터키시 로즈
Freesia,프리지아
Labdanum,랍다넘
Violet,바이올렛 (제비꽃)
Pepper,페퍼 (후추)
violet leaves,바이올렛 리프
Damask Rose,다마스크 로즈
Cyclamen,시클라멘
Black Currant,블랙 커런트
Caramel,카라멜
Sicilian Mandarin,시칠리안 만다린
Pine Tree,파인 트리 (소나무)
Coriander,코리안더 (고수)
Cypress,사이프러스
Silver Pine,실버 파인
Basil,바질
Fig Nectar,피그 넥타 (무화과 즙)
Fig Tree,피그 트리 (무화과 나무)
Juniper,주니퍼
Allspice,올스파이스
Nutmeg,넛맥 (육두구)
White Peach,화이트 피치 (백도)
Bourbon Vanilla,버번 바닐라
Tolu Balsam,톨루 발삼
Green Almond,그린 아몬드
Flowers,플라워 (꽃)
Sea Notes,씨 노트 (바다 향)
Mastic or Lentisque,마스틱 (매스틱)
Myrtle,머틀
Seaweed,씨위드 (해조류)
Carnation,카네이션
Virginian Cedar,버지니안 시더
Agarwood,아가우드 (침향)
Oud,오드
Amyris,아미리스
Petitgrain Paraguay,파라과이 페티그레인
Brazilian Orange,브라질리안 오렌지
Lime,라임
Atlas Cedar,아틀라스 시더
Indonesian Patchouli Leaf,인도네시안 패출리 리프
Italian Orange,이탈리안 오렌지
Calabrian bergamot,칼라브리안 베르가못
Tonka Bean,통카 빈
Olibanum,올리바넘 (유향)
Clove,클로브
